# embryo config info: 
# lWidth 32
# lHeight 32
# lNbStates 2
# lNbChemicals 3
# lDiffuseChemicals 1
# lPathTargetPic name swissflagBW|
# lPath ./
# lbDifferentStatesInitialization 0
# oGuiOuput 0
# 1-th pic to read: swissflagBW
# nb steps max: 512
 # (50,100)-CMA-ES(mu_eff=27.2), Ver="3.02.01.beta", dimension=177, randomSeed=-894530180 (Mon Jul 19 15:06:27 2010)
# Population size: 100
# generation	best fitness 
 best gen: 0 | best fit: 0.156892 | best index: 99
1	0.156892
 best gen: 1 | best fit: 0.156892 | best index: 99
2	0.156892
 best gen: 2 | best fit: 0.156892 | best index: 99
3	0.156892
 best gen: 3 | best fit: 0.149716 | best index: 98
4	0.149716
5	0.156504
6	0.150066
7	0.156892
8	0.156892
9	0.156892
 best gen: 9 | best fit: 0.114657 | best index: 80
10	0.114657
11	0.124341
12	0.149132
13	0.143142
14	0.156452
15	0.149695
16	0.150027
17	0.156892
18	0.150016
19	0.148213
20	0.143755
21	0.139996
22	0.149195
23	0.150052
24	0.142249
25	0.136717
26	0.137403
27	0.143602
28	0.14339
 best gen: 28 | best fit: 0.114375 | best index: 70
29	0.114375
30	0.130728
31	0.135053
32	0.131191
33	0.133556
 best gen: 33 | best fit: 0.10591 | best index: 41
34	0.10591
35	0.141691
36	0.131548
37	0.13423
38	0.129988
39	0.122936
40	0.122015
41	0.127061
42	0.117205
43	0.115679
44	0.10592
45	0.10911
46	0.119244
47	0.11656
48	0.13457
49	0.122475
50	0.124762
51	0.110584
52	0.106851
53	0.10869
54	0.122463
55	0.11885
56	0.116535
57	0.113749
58	0.113727
59	0.108679
60	0.112869
61	0.122122
62	0.122463
63	0.10637
64	0.122463
65	0.122452
66	0.112369
67	0.108679
68	0.10637
69	0.10637
70	0.122452
71	0.10869
72	0.121108
73	0.110978
74	0.113278
 best gen: 74 | best fit: 0.0925672 | best index: 20
75	0.0925672
76	0.11517
77	0.108298
78	0.10869
 best gen: 78 | best fit: 0.0925672 | best index: 23
79	0.0925672
80	0.0948834
81	0.10638
82	0.104081
83	0.104061
 best gen: 83 | best fit: 0.0925672 | best index: 26
84	0.0925672
85	0.10636
86	0.103161
87	0.0948744
88	0.104071
89	0.094967
 best gen: 89 | best fit: 0.0898442 | best index: 86
90	0.0898442
91	0.0925672
92	0.106391
93	0.10636
94	0.095794
95	0.10636
96	0.104081
97	0.0925672
98	0.0948661
99	0.0916557
100	0.0925672
101	0.0925672
102	0.104142
103	0.0925672
104	0.0925672
105	0.0912348
106	0.104061
107	0.104282
108	0.0990433
109	0.0991093
110	0.0967136
111	0.0925672
112	0.0925672
 best gen: 112 | best fit: 0.0843068 | best index: 43
113	0.0843068
114	0.0925672
115	0.0921155
116	0.0925672
117	0.0925672
118	0.0925672
119	0.0925672
120	0.0948661
121	0.0925672
122	0.0925672
123	0.0925672
124	0.0925672
125	0.0925672
126	0.0925672
127	0.08705
128	0.0925672
129	0.0925672
130	0.0898086
131	0.0925672
132	0.0925672
133	0.0925672
134	0.0898086
135	0.0925672
136	0.08705
137	0.0898086
138	0.0898086
139	0.0898086
140	0.0898086
141	0.0897014
142	0.0870576
143	0.0925672
144	0.0925672
145	0.0925672
146	0.0847511
147	0.08705
148	0.0925672
149	0.0925672
150	0.0898086
151	0.08705
152	0.08705
153	0.0898086
154	0.0898086
155	0.0880044
156	0.0870576
157	0.0898086
158	0.0898086
159	0.0925672
160	0.0925672
161	0.08705
162	0.0898086
163	0.0847511
164	0.0870576
165	0.08705
166	0.0847511
167	0.0898086
168	0.08705
169	0.08705
170	0.0898086
171	0.08705
172	0.0870576
173	0.0870576
174	0.08705
175	0.08705
176	0.08705
177	0.08705
178	0.08705
179	0.08705
180	0.08705
181	0.08705
182	0.08705
183	0.08705
184	0.08705
185	0.08705
186	0.0898086
187	0.08705
188	0.08705
189	0.0898086
190	0.08705
191	0.08705
192	0.08705
193	0.0898086
194	0.08705
195	0.08705
196	0.08705
197	0.08705
198	0.08705
199	0.0898086
200	0.0898086
201	0.08705
202	0.0898086
203	0.0898086
204	0.08705
205	0.0898086
206	0.0925672
207	0.08705
208	0.0898086
209	0.0847511
210	0.08705
211	0.08705
 best gen: 211 | best fit: 0.0842913 | best index: 5
212	0.0842913
213	0.0847511
214	0.08705
215	0.08705
216	0.08705
217	0.08705
218	0.0847511
219	0.0865902
220	0.0847511
221	0.08705
 best gen: 221 | best fit: 0.0824523 | best index: 74
222	0.0824523
223	0.08705
224	0.08705
225	0.08705
226	0.0847511
227	0.0847511
228	0.0847511
229	0.0847511
230	0.08705
231	0.08705
232	0.08705
233	0.08705
234	0.08705
235	0.0847511
236	0.0847511
237	0.0847511
238	0.08705
239	0.0847511
240	0.08705
241	0.0847511
242	0.08705
243	0.08705
244	0.08705
245	0.0847511
246	0.0847511
247	0.08705
248	0.08705
249	0.0847511
250	0.08705
251	0.0847511
252	0.0847511
253	0.08705
254	0.0898086
255	0.0847511
256	0.0847511
257	0.08705
258	0.08705
259	0.08705
260	0.08705
261	0.08705
262	0.0847511
263	0.0847511
264	0.08705
265	0.08705
266	0.0847511
267	0.08705
268	0.0847511
269	0.08705
270	0.0847511
271	0.0847511
272	0.0847511
273	0.0847511
274	0.08705
275	0.08705
276	0.0847511
277	0.0847511
278	0.08705
279	0.08705
280	0.0847511
281	0.0847511
282	0.0847511
283	0.08705
284	0.08705
285	0.0847511
286	0.0847511
287	0.0847511
288	0.08705
289	0.0847511
290	0.08705
291	0.08705
292	0.0847511
293	0.08705
294	0.0847511
295	0.0847511
296	0.08705
297	0.0847511
298	0.0847511
299	0.0847511
300	0.08705
301	0.08705
302	0.0847511
303	0.08705
304	0.08705
305	0.0847511
306	0.08705
307	0.0847511
308	0.0847511
309	0.0847511
310	0.0847511
311	0.08705
312	0.0847511
313	0.0847511
314	0.0847511
315	0.0847511
316	0.08705
317	0.08705
318	0.0847511
319	0.0847511
320	0.08705
321	0.08705
322	0.0847511
323	0.0847511
324	0.0847511
325	0.0847511
326	0.0847511
327	0.0847511
328	0.0847511
329	0.0847511
330	0.0847511
331	0.0847511
332	0.08705
333	0.0847511
334	0.0847511
335	0.0847511
336	0.0847511
337	0.0847511
338	0.0847511
339	0.0847511
340	0.0847511
341	0.0847511
342	0.0847511
343	0.08705
344	0.0847511
345	0.0847511
346	0.08705
347	0.0847511
348	0.08705
349	0.0847511
350	0.0847511
351	0.0847511
352	0.0847511
353	0.0847511
354	0.0847511
355	0.0847511
356	0.0847511
357	0.0847511
358	0.0847511
359	0.0847511
360	0.08705
361	0.0847511
362	0.08705
363	0.0847511
364	0.08705
365	0.0847511
366	0.0847511
367	0.0847511
368	0.0847511
369	0.08705
370	0.0847511
371	0.0847511
372	0.08705
373	0.0847511
374	0.0847511
375	0.0847511
376	0.0847511
377	0.0847511
378	0.0847511
379	0.0847511
380	0.0847511
381	0.0847511
382	0.0847511
383	0.08705
384	0.0847511
385	0.0847511
386	0.08705
387	0.0847511
388	0.0847511
389	0.0847511
390	0.0847511
391	0.0847511
392	0.0847511
393	0.08705
394	0.0847511
395	0.0847511
396	0.0847511
397	0.08705
 best gen: 397 | best fit: 0.0824523 | best index: 34
398	0.0824523
399	0.0847511
400	0.0847511
401	0.0847511
402	0.0847511
403	0.0847511
404	0.0847511
405	0.0847511
406	0.0847511
407	0.0847511
408	0.0847511
409	0.0847511
410	0.0847511
411	0.0847511
412	0.0847511
413	0.08705
414	0.0847511
415	0.0847511
416	0.0847511
417	0.0847511
418	0.0847511
419	0.08705
420	0.08705
421	0.08705
422	0.0847511
423	0.0847511
424	0.0847511
425	0.0847511
426	0.08705
427	0.0847511
428	0.0847511
429	0.0847511
430	0.0847511
431	0.08705
432	0.0847511
433	0.0847511
434	0.0847511
435	0.0847511
436	0.08705
437	0.0847511
438	0.08705
439	0.0847511
440	0.0847511
441	0.0847511
442	0.0847511
443	0.08705
444	0.0847511
445	0.0847511
446	0.08705
447	0.0847511
448	0.0847511
449	0.0847511
450	0.0847511
451	0.0847511
452	0.0847511
453	0.0847511
454	0.08705
455	0.0847511
456	0.0847511
457	0.0847511
458	0.0847511
459	0.0847511
460	0.0847511
461	0.0847511
462	0.0847511
463	0.0847511
464	0.0847511
465	0.0847511
466	0.0847511
467	0.0847511
468	0.0847511
469	0.08705
470	0.0847511
471	0.0847511
472	0.0847511
473	0.0847511
474	0.0847511
475	0.08705
476	0.0847511
477	0.0847511
478	0.0847511
479	0.0847511
480	0.0847511
481	0.0847511
482	0.0847511
483	0.0847511
484	0.0847511
485	0.0847511
486	0.0847511
487	0.0847511
488	0.08705
489	0.0847511
490	0.0847511
491	0.08705
492	0.0847511
493	0.0847511
494	0.0847511
495	0.0847511
496	0.08705
497	0.0847511
498	0.0847511
499	0.0847511
500	0.0847511
501	0.0847511
502	0.0847511
503	0.0847511
504	0.0847511
505	0.0847511
506	0.0847511
507	0.0847511
508	0.0847511
509	0.0847511
510	0.0847511
511	0.0847511
512	0.0847511
513	0.0847511
514	0.0847511
515	0.08705
516	0.08705
517	0.0847511
518	0.0847511
519	0.0847511
520	0.0847511
521	0.0847511
522	0.08705
523	0.0847511
524	0.08705
525	0.0847511
526	0.0847511
527	0.0847511
528	0.08705
529	0.0847511
530	0.0847511
531	0.0847511
532	0.0847511
533	0.0847511
534	0.0847511
535	0.0847511
536	0.0847511
537	0.0847511
538	0.0847511
539	0.0847511
540	0.0847511
541	0.08705
542	0.0847511
543	0.08705
544	0.0847511
545	0.0847511
546	0.0847511
547	0.0847511
548	0.0847511
549	0.0847511
550	0.08705
551	0.0847511
552	0.0847511
553	0.08705
554	0.08705
555	0.0847511
556	0.0847511
557	0.0847511
558	0.0847511
559	0.08705
560	0.08705
561	0.0847511
562	0.0847511
563	0.0847511
564	0.0847511
565	0.0847511
566	0.0847511
567	0.0847511
568	0.0847511
569	0.0847511
570	0.0847511
571	0.0847511
572	0.0847511
573	0.0847511
574	0.0847511
575	0.0847511
576	0.0847511
577	0.0847511
578	0.0847511
579	0.0847511
580	0.0847511
581	0.0847511
582	0.0847511
583	0.0847511
584	0.0847511
585	0.0847511
586	0.0847511
587	0.0847511
588	0.0847511
589	0.0847511
590	0.0847511
591	0.0847511
